CHEIE,COD_SMIS,TITLU_PROIECT,NUME_BENEFICIAR,NUMAR_AUTORIZARE,DATA_DEPUNERE_CERERE,VALOARE_ELIGIBILA_CERUTA,DATA_AUTORIZATA,VALOARE_AUTORIZATA,DATA_ULTIMEI_PLATI,VALOARE_RAMBURSATA,MOTIV_INTIRZIERE,COD_BENEFICIAR,COD_PO,COD_AP,COD_DMI,COD_OPER,REGIUNEA_BENEFICIARULUI,JUDETUL_BENEFICIARULUI,LOCALITATEA_BENEFICIARULUI,REIMBURS_OP_LIST
35352\15,"35,352","Conservarea biodiversitatii în aria naturala protejata Dealul Istrita 
Judetul Buzau
",Asociatia Ecologica Universitara Galati,15,07/31/2013 00:00:00,"40,321",08/08/2013 00:00:00,"40,321",08/09/2013 00:00:00,"32,257",,"10,738",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 3325/09-AUG-13: 24192.81 lei; OP 3379/14-AUG-13: 8064.27 lei
35512\1,"35,512","Societatea civila, partener activ in procesul de elaborare si evaluare a politicilor publice",Fundatia Centrul de Resurse Juridice,1,03/01/2013 00:00:00,"67,708",05/15/2013 00:00:00,"67,701",05/31/2013 00:00:00,"66,347",,"1,753",6,1,1.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3347/31-MAY-13: 57546.26 lei; OP 3348/31-MAY-13: 8801.19 lei
35635\3,"35,635","Conservarea biodiversitatii in ariile naturale protejate: Padurea Breana Roscani, Padurea Poganesti, Padurea Fundeanu, Padurea Talasmani, Padurea Camnita",ASOCIATIA JUDETEANA A PESCARILOR SPORTIVI DIN GALATI,3,04/27/2012 00:00:00,"63,101",05/17/2012 00:00:00,"63,101",05/28/2012 00:00:00,"44,170",CLARIFICARI,"10,215",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 1547/28-MAY-12: 31550.34 lei; OP 1548/28-MAY-12: 12620.13 lei
35662\1,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,1,12/15/2011 00:00:00,"35,987",01/18/2012 00:00:00,"35,987",01/19/2012 00:00:00,"25,191",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 98/19-JAN-12: 17993.39 lei; OP 99/19-JAN-12: 7197.35 lei
35662\3,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,3,05/30/2012 00:00:00,"34,523",06/22/2012 00:00:00,"34,523",06/26/2012 00:00:00,"24,166",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 1872/26-JUN-12: 17261.39 lei; OP 1873/26-JUN-12: 6904.56 lei
35662\5,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,5,09/07/2012 00:00:00,"63,826",10/02/2012 00:00:00,"63,826",10/04/2012 00:00:00,"51,061",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 3007/04-OCT-12: 38295.77 lei; OP 3008/04-OCT-12: 12765.26 lei
35662\7,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,7,01/23/2013 00:00:00,"90,812",02/25/2013 00:00:00,"90,812",03/15/2013 00:00:00,"72,649",clarificari,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 604/01-MAR-13: 18162.36 lei; OP 792/15-MAR-13: 54487.06 lei
35662\9,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,9,07/09/2013 00:00:00,"80,864",07/23/2013 00:00:00,"80,864",07/29/2013 00:00:00,"64,691",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 3091/29-JUL-13: 48518.16 lei; OP 3092/29-JUL-13: 16172.72 lei
35662\11,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,11,08/27/2013 00:00:00,"20,351",09/05/2013 00:00:00,"20,351",09/09/2013 00:00:00,"16,281",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 3776/09-SEP-13: 12210.6 lei; OP 3777/09-SEP-13: 4070.2 lei
35672\1,"35,672",Imbunatatirea capacitatii organizationale de comunicare si gestiune informatii in relatia cu institutiile administratiei publice,ARAS - Asociatia Romana Anti-SIDA,1,06/14/2013 00:00:00,"322,425",07/26/2013 00:00:00,"321,984",07/30/2013 00:00:00,"292,083",,"1,515",6,1,1.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3548/30-JUL-13: 250224.9 lei; OP 3549/30-JUL-13: 41857.92 lei
35712\6,"35,712",Schema inovativa de adaptabilitate si specializare S.I.A.S.,"CAMERA DE COMERT, INDUSTRIE SI AGRICULTURA TIMISOARA",6,10/16/2012 00:00:00,"739,721",03/14/2013 00:00:00,"716,750",04/16/2013 00:00:00,"451,552",,"1,430",4,3,3.2,***,VEST,TIMIS,MUNICIPIUL TIMISOARA,OP 2733/28-MAR-13: 346190.19 lei; OP 2962/16-APR-13: 105362.23 lei
35763\3,"35,763","Competente pentru adaptabilitate si flexibilitate in sistemul de sanatate, in contextul descentralizarii",CNSLR Fratia,3,08/02/2012 00:00:00,,,,02/21/2013 00:00:00,"564,615",,"3,634",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1019/21-FEB-13: 564614.57 lei
35792\7,"35,792","Flexibilitate organizationala, functionala si de ocupare - conditii decisive pentru dezvoltarea economica a intreprinderilor",BARDROM SECURITY SRL,7,03/26/2013 00:00:00,"1,300,944",05/28/2013 00:00:00,"1,262,100",06/13/2013 00:00:00,"1,198,995",,"3,701",4,3,3.2,***,SUD-EST,BRAILA,MUNICIPIUL BRAILA,OP 5627/13-JUN-13: 1019145.99 lei; OP 5628/13-JUN-13: 179849.29 lei
35844\1,"35,844",Eficienta prin tehnologie moderna,DATAPHONEDIVISION,1,09/03/2012 00:00:00,"94,890",03/13/2013 00:00:00,"94,265",03/05/2013 00:00:00,"84,838",,"12,186",3,3,1,1,SUD-EST,VRANCEA,MUNICIPIUL FOCSANI,OP 244/13-MAR-13: 69245.03 lei; OP 404/05-MAR-13: 15593.28 lei
35851\3,"35,851",Formare profesionala pentru personalul medical si manageri din domeniul sanitar prin implementarea de noi tehnologii si actualizarea cunostintelor in domeniul economiei sanitare,DIRECTIA DE SANATATE PUBLICA JUDETEANA CONSTANTA,3,10/02/2012 00:00:00,,,,02/22/2013 00:00:00,"699,874",,"11,196",4,3,3.2,***,SUD-EST,CONSTANTA,MUNICIPIUL CONSTANTA,OP 540/22-FEB-13: 699873.56 lei
35879\2,"35,879",Formarea profesionala si cresterea adaptabilitatii angajatilor si intreprinzatorilor din sectorul productiei de materiale pentru constructii prin promovarea utilizarii noilor tehnologii,Asociatia Producatorilor de Materiale pentru Constructii din România,2,07/02/2012 00:00:00,,,,02/21/2013 00:00:00,"310,218",,"7,687",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1010/21-FEB-13: 310218.42 lei
35886\2,"35,886","Programe de sprijin organizational si formare profesionala pentru personalul angajat din sectorul de celuloza, hartie si carton in vederea adaptarii la dinamica pietei interne si internationale",CEPROHART SA BRAILA,2,08/01/2011 00:00:00,"274,718",10/03/2011 00:00:00,"274,684",,"75,955",,"3,578",4,3,3.2,***,SUD-EST,BRAILA,MUNICIPIUL BRAILA,OP 1054/21-FEB-13: 75955.48 lei
35888\2,"35,888",Planificare strategica - Competente si competitivitate pentru manageri,EMC South Central Europe S.R.L.,2,10/18/2011 00:00:00,"734,996",01/13/2012 00:00:00,"713,271",01/13/2012 00:00:00,"464,856",,"3,777",4,3,3.2,***,BUCURESTI - ILFOV,ILFOV,MOGOSOAIA,OP 302/13-JAN-12: 98142.51 lei; OP 81/06-JAN-12: 366713.16 lei
35888\3,"35,888",Planificare strategica - Competente si competitivitate pentru manageri,EMC South Central Europe S.R.L.,3,01/31/2012 00:00:00,"1,226,705",02/24/2012 00:00:00,"1,226,705",03/20/2012 00:00:00,"935,829",,"3,777",4,3,3.2,***,BUCURESTI - ILFOV,ILFOV,MOGOSOAIA,OP 2032/20-MAR-12: 767040.28 lei; OP 3145/25-APR-12: 168788.47 lei
35956\1,"35,956",Internet broadband si echipamente TIC pentru Lineart,LINEART SRL,1,09/18/2013 00:00:00,"20,779",10/07/2013 00:00:00,"20,779",10/18/2013 00:00:00,"18,701",,"12,961",3,3,1,1,NORD-VEST,CLUJ,MUNICIPIUL CLUJ-NAPOCA,OP 2798/18-OCT-13: 15264.08 lei; OP 2799/18-OCT-13: 3437.32 lei
35985\2,"35,985","Conservarea biodiversitatii in ariile naturale protejate Padurea Seaca-Movileni , Padurea Badeana si Padurea Balteni-Harboanca, Judetul Vaslui",ASOCIATIA PROEDUCATIA VERDE  ,2,04/04/2012 00:00:00,"28,890",05/07/2012 00:00:00,"28,887",05/25/2012 00:00:00,"20,221",,"11,232",2,4,4.1,***,NORD-EST,VASLUI,MUNICIPIUL VASLUI,OP 1452/25-MAY-12: 14443.73 lei; OP 1453/25-MAY-12: 5777.49 lei
33948\3,"33,948",Centrul de tineret un model de consiliere a carierei tinerilor pe parcursul perioadei liceului.,Asociatia Romana de Consiliere si Sprijin A.R.C.S.,3,11/19/2012 00:00:00,"376,455",04/17/2013 00:00:00,"311,540",05/24/2013 00:00:00,"196,270",,"9,769",4,2,2.1,***,SUD-VEST OLTENIA,MEHEDINTI,MUNICIPIUL DROBETA-TURNU SEVERIN,OP 4580/24-MAY-13: 159205.45 lei; OP 4581/24-MAY-13: 37064.49 lei
